"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","2","296-42300-1-ND","LM2776DBVT","IC REG SWTCHD CAP INV 6SOT23","","0","1.85000","$3.70"
"2","2","MCP631-E/SN-ND","MCP631-E/SN","IC OPAMP GP 24MHZ RRO 8SOIC","","0","1.19000","$2.38"
"3","2","AZ1117CH-3.3TRG1DICT-ND","AZ1117CH-3.3TRG1","IC REG LINEAR 3.3V 800MA SOT223","","0","0.58000","$1.16"
"4","2","TLP2361(V4-TPLECT-ND","TLP2361(V4-TPL,E","OPTOISO 3.75KV PSH PULL SO6-5","","0","1.81000","$3.62"
"5","2","631-1010-1-ND","FC4SDCBMF8.0-T1","CRYSTAL 8.0000MHZ 20PF SMD","","0","0.49000","$0.98"
"6","2","AZ4580MTR-G1DICT-ND","AZ4580MTR-G1","IC OP AMP GP DUAL 8-SOIC","","0","0.61000","$1.22"
"7","1","HFM15H-ND","A-DFF 15LPIII/Z","CONN D-SUB RCPT 15POS STR IDC","","0","3.26000","$3.26"
"8","","","","","","","Kit Subtotal:","$54.74"
"9","1","3M157923-1-ND","3801/15 100","CBL RIBN 15COND 0.050 GRAY 1'","","0","1.78000","$1.78"
"10","1","HMM09H-ND","A-DSF 09LPIII/Z","CONN D-SUB PLUG 9POS STR IDC","","0","2.78000","$2.78"
"11","1","SMD291SNL-ND","SMD291SNL","SOLDER PASTE NO-CLEAN LF 5CC SYR","","0","24.17000","$24.17"
"12","2","277-9150-ND","1989887","TERM BLOCK 16POS 45DEG 2.5MM PCB","","0","3.00000","$6.00"
"13","100","RNCP1206FTD511RCT-ND","RNCP1206FTD511R","RES 511 OHM 1% 1/2W 1206","","0","0.05470","$5.47"
"","","","","","","","Subtotal","$56.52"
